feature,target_label,threshold,tp,fn,fp,tn,window_sensitivity,window_false_positive_rate,window_specificity,window_precision,event_detection_rate,target_event_count,normal_recording_false_alarm_rate,normal_recording_count
gyro_max_dps,near_miss,88.57608,24,0,832,121,1.0,0.87303,0.12697,0.02804,1.0,4,1.0,4
gyro_max_dps,near_miss,88.57673,24,0,832,121,1.0,0.87303,0.12697,0.02804,1.0,4,1.0,4
gyro_max_dps,near_miss,89.6895,24,0,831,122,1.0,0.87198,0.12802,0.02807,1.0,4,1.0,4
gyro_max_dps,near_miss,90.80227,24,0,831,122,1.0,0.87198,0.12802,0.02807,1.0,4,1.0,4
gyro_max_dps,near_miss,90.92628,24,0,830,123,1.0,0.87093,0.12907,0.0281,1.0,4,1.0,4
gyro_max_dps,near_miss,91.05028,24,0,830,123,1.0,0.87093,0.12907,0.0281,1.0,4,1.0,4
gyro_max_dps,near_miss,91.89708,24,0,829,124,1.0,0.86988,0.13012,0.02814,1.0,4,1.0,4
gyro_max_dps,near_miss,92.74389,24,0,829,124,1.0,0.86988,0.13012,0.02814,1.0,4,1.0,4
gyro_max_dps,near_miss,92.76039,24,0,828,125,1.0,0.86884,0.13116,0.02817,1.0,4,1.0,4
gyro_max_dps,near_miss,92.7769,24,0,828,125,1.0,0.86884,0.13116,0.02817,1.0,4,1.0,4
gyro_max_dps,near_miss,93.04038,24,0,827,126,1.0,0.86779,0.13221,0.0282,1.0,4,1.0,4
gyro_max_dps,near_miss,93.30385,24,0,827,126,1.0,0.86779,0.13221,0.0282,1.0,4,1.0,4
gyro_max_dps,near_miss,93.3918,24,0,826,127,1.0,0.86674,0.13326,0.02824,1.0,4,1.0,4
gyro_max_dps,near_miss,93.47974,24,0,826,127,1.0,0.86674,0.13326,0.02824,1.0,4,1.0,4
gyro_max_dps,near_miss,94.05008,24,0,825,128,1.0,0.86569,0.13431,0.02827,1.0,4,1.0,4
gyro_max_dps,near_miss,94.62043,24,0,825,128,1.0,0.86569,0.13431,0.02827,1.0,4,1.0,4
gyro_max_dps,near_miss,95.00938,24,0,824,129,1.0,0.86464,0.13536,0.0283,1.0,4,1.0,4
gyro_max_dps,near_miss,95.39833,24,0,824,129,1.0,0.86464,0.13536,0.0283,1.0,4,1.0,4
gyro_max_dps,near_miss,95.46276,24,0,823,130,1.0,0.86359,0.13641,0.02834,1.0,4,1.0,4
gyro_max_dps,near_miss,95.5272,24,0,823,130,1.0,0.86359,0.13641,0.02834,1.0,4,1.0,4
gyro_max_dps,near_miss,95.75368,24,0,822,131,1.0,0.86254,0.13746,0.02837,1.0,4,1.0,4
gyro_max_dps,near_miss,95.98017,24,0,822,131,1.0,0.86254,0.13746,0.02837,1.0,4,1.0,4
gyro_max_dps,near_miss,96.071,24,0,821,132,1.0,0.86149,0.13851,0.0284,1.0,4,1.0,4
gyro_max_dps,near_miss,96.16183,24,0,821,132,1.0,0.86149,0.13851,0.0284,1.0,4,1.0,4
gyro_max_dps,near_miss,96.23528,24,0,820,133,1.0,0.86044,0.13956,0.02844,1.0,4,1.0,4
gyro_max_dps,near_miss,96.30874,24,0,820,133,1.0,0.86044,0.13956,0.02844,1.0,4,1.0,4
gyro_max_dps,near_miss,96.72228,24,0,819,134,1.0,0.85939,0.14061,0.02847,1.0,4,1.0,4
gyro_max_dps,near_miss,97.13581,24,0,819,134,1.0,0.85939,0.14061,0.02847,1.0,4,1.0,4
gyro_max_dps,near_miss,97.23554,24,0,818,135,1.0,0.85834,0.14166,0.0285,1.0,4,1.0,4
gyro_max_dps,near_miss,97.33526,24,0,818,135,1.0,0.85834,0.14166,0.0285,1.0,4,1.0,4
gyro_max_dps,near_miss,97.44124,24,0,817,136,1.0,0.85729,0.14271,0.02854,1.0,4,1.0,4
gyro_max_dps,near_miss,97.54722,24,0,817,136,1.0,0.85729,0.14271,0.02854,1.0,4,1.0,4
gyro_max_dps,near_miss,97.676,24,0,815,138,1.0,0.85519,0.14481,0.02861,1.0,4,1.0,4
gyro_max_dps,near_miss,97.80478,24,0,815,138,1.0,0.85519,0.14481,0.02861,1.0,4,1.0,4
gyro_max_dps,near_miss,98.24578,24,0,814,139,1.0,0.85414,0.14586,0.02864,1.0,4,1.0,4
gyro_max_dps,near_miss,98.68677,24,0,814,139,1.0,0.85414,0.14586,0.02864,1.0,4,1.0,4
gyro_max_dps,near_miss,98.69171,24,0,813,140,1.0,0.8531,0.1469,0.02867,1.0,4,1.0,4
