worker,recording_type,source_file,packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps
kwanteng,fall_like,KT_Fall_cleaned.csv,95,2026-08-03 12:34:22.335,8.404555,1.236000000000459,-0.27,-0.33,0.91,1.53,-5.92,-8.54,1.004937809021036,10.503280439938752
kwanteng,fall_like,KT_Fall_cleaned.csv,97,2026-08-03 12:34:22.378,8.448014,43.45900000000036,-0.26,-0.36,0.91,-1.4,-4.88,-9.16,1.0125709851659783,10.472821969268837
kwanteng,fall_like,KT_Fall_cleaned.csv,98,2026-08-03 12:34:22.421,8.491292,43.27799999999904,-0.26,-0.36,0.9,-1.1,-2.14,-6.9,1.0035935432235503,7.307502993499217
kwanteng,fall_like,KT_Fall_cleaned.csv,100,2026-08-03 12:34:22.465,8.535028,43.736000000000885,-0.26,-0.35,0.88,0.73,-0.06,-4.09,0.982089608946149,4.155069193166343
kwanteng,fall_like,KT_Fall_cleaned.csv,102,2026-08-03 12:34:22.509,8.578792,43.76399999999947,-0.27,-0.34,0.88,0.49,-0.37,-2.32,0.9812746812182611,2.399874996744622
kwanteng,fall_like,KT_Fall_cleaned.csv,104,2026-08-03 12:34:22.553,8.622444,43.6519999999998,-0.27,-0.33,0.88,0.43,-1.04,-1.22,0.9778547949465708,1.6597891432347665
kwanteng,fall_like,KT_Fall_cleaned.csv,106,2026-08-03 12:34:22.684,8.753801,131.35699999999952,-0.27,-0.33,0.88,0.92,-1.46,-0.79,0.9778547949465708,1.897919914011126
kwanteng,fall_like,KT_Fall_cleaned.csv,107,2026-08-03 12:34:22.684,8.754299,0.4980000000003315,-0.27,-0.33,0.88,0.43,-2.08,-0.98,0.9778547949465708,2.339166518228234
kwanteng,fall_like,KT_Fall_cleaned.csv,108,2026-08-03 12:34:22.685,8.755065,0.7660000000004885,-0.26,-0.33,0.89,0.43,-2.08,-0.98,0.9841747812253675,2.339166518228234
kwanteng,fall_like,KT_Fall_cleaned.csv,109,2026-08-03 12:34:22.686,8.75583,0.7649999999994606,-0.26,-0.33,0.89,0.12,-2.26,-1.28,0.9841747812253675,2.600076921939041
kwanteng,fall_like,KT_Fall_cleaned.csv,111,2026-08-03 12:34:22.687,8.757352,1.5219999999995792,-0.26,-0.33,0.89,0.0,-2.56,-1.34,0.9841747812253675,2.889498226336192
kwanteng,fall_like,KT_Fall_cleaned.csv,113,2026-08-03 12:34:22.727,8.798142,40.790000000001214,-0.25,-0.34,0.91,-0.43,-2.87,-1.1,1.0030952098380295,3.10351413723218
